(3, 5, 0)	1	0	395312	694624	28	27
(5, 3, 0)	2	0	281067	36217	14	14
(3, 6, 0)	1	0	475668	719819	26	25
(6, 3, 0)	2	0	131193	16833	12	12
(3, 7, 0)	1	0	540685	586584	39	38
(7, 3, 0)	2	0	420632	316072	29	29
(3, 8, 0)	1	0	245569	432638	24	23
(8, 3, 0)	2	0	317850	93490	18	18
(3, 9, 0)	1	0	321001	161184	24	23
(9, 3, 0)	2	0	63646	318418	29	29
(3, 10, 0)	1	0	404898	820457	32	31
(10, 3, 0)	2	0	320087	36215	14	14
(3, 11, 0)	1	0	290020	697690	28	27
(11, 3, 0)	2	0	189074	29531	14	14
(4, 5, 0)	1	0	253817	559500	21	20
(5, 4, 0)	2	0	297997	71154	14	14
(4, 6, 0)	1	0	307355	646588	24	23
(6, 4, 0)	2	0	266333	110922	11	11
(4, 7, 0)	1	0	253044	273142	20	19
(7, 4, 0)	2	0	402134	388948	27	27
(4, 8, 0)	1	0	197516	369375	22	21
(8, 4, 0)	2	0	187143	62707	13	13
(4, 9, 0)	1	0	311600	141720	30	29
(9, 4, 0)	2	0	117530	263215	24	24
(4, 10, 0)	1	0	190743	671942	26	25
(10, 4, 0)	2	0	309510	69636	15	15
(4, 11, 0)	1	0	390302	775803	29	28
(11, 4, 0)	2	0	208543	16777	15	15
(5, 6, 0)	0	0	996228	996840	110	110
(6, 5, 0)	2	0	835322	881145	34	34
(5, 7, 0)	2	0	294370	62355	14	14
(7, 5, 0)	1	0	372462	687779	24	23
(5, 8, 0)	2	0	298184	109874	14	14
(8, 5, 0)	2	0	197600	205031	17	17
(5, 9, 0)	2	0	352820	18296	16	16
(9, 5, 0)	2	0	580027	903569	44	44
(5, 10, 0)	1	0	524122	779559	32	31
(10, 5, 0)	2	0	367270	232441	17	17
(5, 11, 0)	2	0	260678	213609	13	13
(11, 5, 0)	2	0	322846	341431	17	17
(6, 7, 0)	2	0	521931	535390	31	31
(7, 6, 0)	1	0	82769	110569	11	10
(6, 8, 0)	2	0	257623	203916	12	12
(8, 6, 0)	2	0	186479	213213	14	14
(6, 9, 0)	2	0	216053	10411	13	13
(9, 6, 0)	2	0	46829	328340	19	19
(6, 10, 0)	2	0	183849	133159	6	6
(10, 6, 0)	2	0	377160	99247	18	18
(6, 11, 0)	2	0	183710	34424	6	6
(11, 6, 0)	1	0	113659	202270	12	11
(7, 8, 0)	0	0	929207	998052	110	110
(8, 7, 0)	2	0	331082	228869	21	21
(7, 9, 0)	1	0	360358	186900	29	28
(9, 7, 0)	1	0	92945	414941	33	32
(7, 10, 0)	1	0	338316	716365	33	32
(10, 7, 0)	2	0	340547	61829	15	15
(7, 11, 0)	1	0	332847	517426	22	21
(11, 7, 0)	2	0	201510	91983	14	14
(8, 9, 0)	1	0	376634	66026	19	18
(9, 8, 0)	1	0	129236	445636	28	27
(8, 10, 0)	1	0	461114	786154	26	25
(10, 8, 0)	2	0	301247	106531	16	16
(8, 11, 0)	2	0	129260	16073	13	13
(11, 8, 0)	2	0	253384	143784	16	16
(9, 10, 0)	1	0	75024	888004	34	33
(10, 9, 0)	2	0	565262	16909	19	19
(9, 11, 0)	2	0	51543	761817	23	23
(11, 9, 0)	2	0	393943	25741	16	16
(10, 11, 0)	2	0	298287	213334	20	20
(11, 10, 0)	2	0	217390	511061	18	18
(0, 1, 1)	1	0	388212	468952	27	26
(1, 0, 1)	2	0	705332	660627	34	34
(0, 2, 1)	1	0	326071	503780	23	22
(2, 0, 1)	2	0	802729	579883	29	29
(0, 3, 1)	1	0	612263	861099	37	36
(3, 0, 1)	2	0	629715	430531	25	25
(0, 4, 1)	1	0	378380	457769	29	28
(4, 0, 1)	2	0	847439	798926	44	44
(0, 5, 1)	1	0	468188	675301	27	26
(5, 0, 1)	2	0	347520	77522	12	12
(0, 6, 1)	1	0	258959	565463	19	18
(6, 0, 1)	2	0	650679	493659	23	23
(0, 7, 1)	1	0	489410	471414	33	32
(7, 0, 1)	2	0	568396	805941	38	38
(0, 8, 1)	1	0	348583	335561	22	21
(8, 0, 1)	2	0	449730	300023	24	24
(0, 9, 1)	1	0	82323	8454	11	10
(9, 0, 1)	2	0	57082	212700	12	12
(0, 10, 1)	1	0	304971	659872	25	24
(10, 0, 1)	2	0	884808	653955	39	39
(0, 11, 1)	1	0	418830	288776	23	22
(11, 0, 1)	2	0	838193	243809	24	24
(1, 2, 1)	2	0	769640	821450	36	36
(2, 1, 1)	1	0	875083	779940	49	48
(1, 3, 1)	1	0	714792	877449	38	37
(3, 1, 1)	2	0	910186	774681	51	51
(1, 4, 1)	1	0	547576	393966	29	28
(4, 1, 1)	1	0	259647	299058	19	18
(1, 5, 1)	1	0	437559	474197	20	19
(5, 1, 1)	2	0	362613	264670	13	13
(1, 6, 1)	1	0	666749	791370	33	32
(6, 1, 1)	2	0	787927	583788	28	28
(1, 7, 1)	1	0	580541	401381	30	29
(7, 1, 1)	1	0	292656	333094	18	17
(1, 8, 1)	1	0	679582	747322	44	43
(8, 1, 1)	2	0	448163	492677	24	24
(1, 9, 1)	1	0	678216	145231	44	43
(9, 1, 1)	2	0	55674	270499	15	15
(1, 10, 1)	1	0	381679	648781	22	21
(10, 1, 1)	2	0	867425	570365	32	32
(1, 11, 1)	1	0	701019	950780	34	33
(11, 1, 1)	2	0	756827	482599	31	31
(2, 3, 1)	1	0	876660	926141	59	58
(3, 2, 1)	1	0	197967	347113	17	16
(2, 4, 1)	1	0	743257	584059	33	32
(4, 2, 1)	1	0	157446	204871	14	13
(2, 5, 1)	1	0	520885	614787	24	23
(5, 2, 1)	2	0	408545	274512	15	15
(2, 6, 1)	1	0	234048	438626	18	17
(6, 2, 1)	2	0	873769	867378	35	35
(2, 7, 1)	1	0	785732	382016	30	29
(7, 2, 1)	2	0	508969	767318	34	34
(2, 8, 1)	1	0	526318	527536	28	27
(8, 2, 1)	2	0	472615	655474	26	26
(2, 9, 1)	1	0	352929	6026	19	18
(9, 2, 1)	2	0	53927	245372	16	16
(2, 10, 1)	1	0	484917	736961	24	23
(10, 2, 1)	2	0	817002	573605	33	33
(2, 11, 1)	1	0	515509	506740	29	28
(11, 2, 1)	2	0	627919	419957	35	35
(3, 4, 1)	2	0	919834	792829	55	55
(4, 3, 1)	0	0	994121	977116	109	109
(3, 5, 1)	1	0	172200	601435	22	21
(5, 3, 1)	2	0	656195	215196	23	23
(3, 6, 1)	1	0	141167	473167	22	21
(6, 3, 1)	2	0	729400	422545	30	30
(3, 7, 1)	1	0	656433	596289	41	40
(7, 3, 1)	2	0	494500	361916	31	31
(3, 8, 1)	1	0	128076	79259	10	9
(8, 3, 1)	2	0	559292	243079	26	26
(3, 9, 1)	1	0	200214	121531	24	23
(9, 3, 1)	2	0	42916	125956	17	17
(3, 10, 1)	1	0	298308	634498	20	19
(10, 3, 1)	2	0	808395	237769	27	27
(3, 11, 1)	1	0	213306	784256	27	26
(11, 3, 1)	2	0	641731	210346	26	26
(4, 5, 1)	1	0	393431	507202	29	28
(5, 4, 1)	2	0	759402	389300	26	26
(4, 6, 1)	1	0	360011	581231	27	26
(6, 4, 1)	2	0	727636	286402	29	29
